"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","1","Unnamed Road, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",2600,1885,3585
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","2","9th Cross Bhel Layout, Adityanagar, Vidyaranyapura, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",2586,1869,3576
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","3","15th A Cross Road, Yelahanka Satellite Town, Yelahanka, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",2362,1659,3361
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","4","SP Naidu Layout 4th Cross Street, SP Naidu Layout, Dooravani Nagar, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",1965,1316,2933
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","5","Medahalli Kadugodi Road, Bharathi Nagar, Krishnarajapura, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",2272,1514,3407
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","6","0 Kodigehalli Main Road, Kodigehalli, Krishnarajapura, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",2758,1887,4030
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","7","Justice Bheemiah Layout 1st Main Road, Roshan Nagar, Krishnarajapura, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",2029,1341,3069
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","8","100 2nd Cross Road, A Narayanapura, Mottappa Compound, Udaya Nagar, Mahadevapura, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",1671,1075,2595
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","9","Ranganatha Layout, Ranganatha Layout, Mahadevapura, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",2007,1342,2999
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","10","HAL Old Airport Road, HAL Airport Area, HAL, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",1400,921,2126
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","11","Vidyaranyapura Road, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",2216,1552,3163
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","12","5th Main Singapura Layout, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",2564,1849,3555
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","13","0 8th Cross Road, Yelahanka, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",1928,1317,2820
