sourceid,dstid,hod,mean_travel_time,standard_deviation_travel_time,geometric_mean_travel_time,geometric_standard_deviation_travel_time
110,2,10,2756.07,613.98,2692.91,1.24
110,2,15,2737.33,588.06,2681.05,1.22
110,2,20,2676.85,491.72,2634.26,1.19
110,3,9,2779.31,521.97,2732.2,1.2
110,3,14,2862.21,687.02,2787.73,1.25
110,3,19,3237.59,699.55,3164.25,1.24
110,4,8,3688.75,725.64,3608.15,1.24
110,4,13,3523.29,356.63,3505.11,1.11
110,4,18,4604.13,948.06,4512.72,1.22
110,6,6,3357.1,498.08,3316.01,1.18
110,6,11,5244.31,658.65,5201.22,1.14
110,6,21,4045.13,765.87,3971.9,1.21
110,7,5,2134.56,265.79,2118.26,1.13
110,7,10,4492.5,736.24,4431.17,1.18
110,7,15,4197.95,604.63,4152.36,1.16
110,8,9,4387.25,742.02,4326.99,1.18
110,8,14,3899.5,576.59,3855.57,1.16
110,8,19,4139.86,962.59,4034.41,1.25
110,9,8,4314.44,1019.48,4186.06,1.29
110,9,18,4468.22,830.32,4390.97,1.21
110,10,8,3874.03,574.08,3831.8,1.16
110,10,13,4149.08,653.45,4099.46,1.17
110,10,18,4114.41,787.33,4036.9,1.22
110,10,23,2272.29,453.75,2232.59,1.2
110,11,2,1387.73,356.29,1343,1.29
110,11,7,1696.57,617.17,1617.35,1.34
110,11,12,1899.29,368.74,1866.21,1.2
110,11,17,2126.02,621.19,2042.99,1.32
110,11,22,1708.12,404.18,1662.15,1.26
110,12,6,2066.83,487.44,2007.4,1.28
110,12,11,2037.53,437.13,1998.73,1.21
110,12,16,2033.31,475.91,1980.29,1.26
110,12,21,2038.03,467.31,1989.19,1.24
110,13,0,2334.87,555.4,2274.8,1.25
110,13,5,1989.5,354.92,1959.6,1.19
110,13,10,3138.9,609.59,3079.41,1.22
110,13,15,2956.45,524.3,2916.73,1.17
110,13,20,2996.97,486.59,2959.59,1.17
110,14,9,3470.27,978.07,3356.35,1.29
110,14,14,2893.54,799.2,2800.16,1.28
110,14,19,3097.18,571.15,3047.01,1.2
110,15,3,1686.67,326.27,1657.73,1.2
110,15,8,2489.95,587.39,2426.14,1.25
110,15,13,2526.85,516.89,2476.14,1.22
110,15,18,3196.85,705.38,3121.11,1.24
110,15,23,1998.27,460.46,1949.08,1.25
110,16,2,1547.74,467.06,1489.16,1.31
110,16,7,1904.77,520.77,1842.72,1.29
110,16,12,2359.25,569.53,2301.5,1.24
110,16,17,2479.75,669.52,2393.09,1.31
110,16,22,1934.13,406.05,1893.05,1.23
110,17,11,2474.64,475,2431.96,1.2
110,17,16,2351.5,348.26,2324.32,1.17
110,17,21,2321.5,398.13,2287.72,1.19
110,18,0,919.53,201.46,900.43,1.22
